AttemptID,ShipmentID,CourierID,AttemptTime,IsSuccessful,FailureReasonID
1,1,1415,2025-09-08,1,
2,2,2144,2025-06-25,1,
3,3,722,2025-06-24,0,7
4,4,2670,2025-03-09,1,
5,5,2872,2025-10-01,1,
6,6,931,2025-05-19,0,17
7,7,1439,2026-02-12,0,17
8,8,102,2025-04-29,0,3
10,9,838,2025-11-02,0,1
9,9,838,2025-11-03,0,6
11,10,1985,2025-12-04,1,
12,11,1762,2026-01-05,1,
13,12,135,2025-10-26,1,
14,13,684,2025-03-28,1,
15,14,1343,2026-02-10,1,
16,15,576,2026-01-11,1,
17,17,2798,2026-02-25,1,
18,18,1828,2025-03-28,1,
19,19,1313,2025-07-26,0,4
20,20,2771,2025-06-18,1,
21,21,474,2025-11-14,1,
22,22,1239,2025-09-11,1,
23,23,1748,2025-03-25,1,
24,24,1669,2025-11-26,1,
25,25,989,2025-11-05,0,8
26,27,596,2026-01-08,1,
27,28,221,2025-08-19,1,
28,29,1243,2026-02-16,0,9
105233,29,793,2026-02-16,0,4
29,30,60,2025-05-28,1,
30,31,350,2025-05-13,1,
31,32,2040,2025-03-29,1,
32,33,1542,2025-04-05,1,
33,34,104,2025-11-26,1,
35,35,50,2025-10-30,0,4
34,35,50,2025-10-31,0,5
36,36,373,2026-02-16,1,
37,37,374,2025-10-23,0,4
38,38,430,2026-02-09,1,
39,39,2774,2026-01-03,1,
40,40,2895,2025-04-06,1,
41,41,1263,2025-07-22,1,
42,42,2237,2025-09-15,1,
43,43,2788,2025-07-20,1,
44,44,835,2026-01-28,0,2
45,45,1544,2025-08-09,1,
46,46,1051,2025-10-28,1,
105142,46,1656,2025-10-28,1,
47,47,2149,2025-12-15,1,
48,48,1563,2025-07-16,1,
50,49,242,2026-01-24,0,14
49,49,242,2026-01-25,0,2
51,50,2796,2025-05-18,1,
52,51,1125,2025-06-05,1,
53,52,191,2025-06-24,1,
54,53,305,2025-06-07,0,7
55,54,2423,2025-07-30,1,
56,55,1558,2025-09-18,1,
57,56,2638,2025-03-13,1,
58,57,145,2025-06-14,1,
59,58,2064,2025-09-24,1,
60,59,1002,2025-09-14,1,
61,60,1406,2025-05-18,1,
62,61,1801,2025-04-11,1,
63,62,240,2025-09-20,1,
64,63,1400,2025-10-06,0,3
66,64,2240,2025-10-03,0,6
65,64,2240,2025-10-04,0,2
67,65,2320,2025-10-30,1,
68,66,2904,2026-02-24,0,8
69,68,822,2025-06-20,1,
71,69,181,2026-02-03,0,1
70,69,181,2026-02-04,0,11
72,70,2976,2025-09-16,1,
73,71,2168,2025-12-22,1,
74,72,2627,2025-12-31,1,
75,73,726,2025-07-27,1,
76,74,1592,2025-08-21,1,
77,76,2122,2025-05-21,1,
78,77,2960,2025-09-19,1,
79,79,1972,2025-10-21,1,
80,81,33,2025-12-28,1,
81,82,2617,2025-07-18,0,2
82,83,2353,2025-07-01,1,
83,84,2262,2026-01-30,1,
84,86,1017,2025-04-27,0,10
85,87,894,2025-07-18,1,
86,88,2926,2025-08-26,1,
87,89,132,2025-09-09,1,
88,90,906,2025-04-02,0,2
90,91,2428,2026-01-02,0,19
89,91,2428,2026-01-03,0,4
92,92,1580,2025-12-12,0,15
91,92,1580,2025-12-13,0,7
93,93,900,2025-10-11,1,
94,94,471,2025-12-15,1,
95,95,183,2025-11-28,1,
96,96,508,2025-04-12,1,
97,97,1437,2025-04-08,1,
98,98,1071,2025-04-02,1,
99,99,2481,2025-04-09,1,
101,100,2737,2026-01-03,0,4
100,100,2737,2026-01-04,0,12
102,101,706,2025-11-30,1,
103,102,1323,2025-06-03,1,
104,103,2042,2025-04-23,1,
105,104,982,2025-04-16,1,
106,106,356,2025-11-07,1,
108,107,1712,2026-02-20,0,1
107,107,1712,2026-02-21,0,2
109,108,971,2025-09-26,1,
110,109,2252,2025-06-02,0,6
111,110,1720,2025-08-23,1,
112,111,2153,2025-12-06,1,
114,112,2705,2025-11-29,0,2
113,112,2705,2025-11-30,0,5
115,113,2402,2025-04-09,1,
116,114,745,2025-12-06,1,
117,115,2147,2025-09-26,1,
118,116,1085,2025-03-18,1,
119,117,1705,2026-02-12,1,
120,118,31,2025-10-17,1,
121,119,2008,2025-06-30,1,
122,120,1556,2025-08-30,1,
123,121,816,2025-03-28,1,
124,122,50,2025-06-07,1,
125,124,1490,2025-05-04,1,
126,125,1792,2026-01-01,1,
128,126,1709,2026-02-18,0,4
127,126,1709,2026-02-19,0,5
129,127,42,2025-04-16,1,
131,128,2820,2025-08-16,0,2
130,128,2820,2025-08-17,0,1
132,129,826,2025-05-09,1,
133,130,1689,2025-10-24,1,
134,131,1320,2025-12-03,1,
135,132,598,2025-09-04,1,
136,133,2313,2025-05-10,1,
137,134,2216,2025-08-04,1,
138,135,2181,2025-07-31,1,
139,136,2482,2025-07-05,1,
140,137,578,2025-11-04,1,
141,139,644,2025-07-20,0,4
142,140,846,2025-08-17,1,
143,141,1617,2025-07-05,1,
144,142,2096,2025-12-06,1,
145,143,2016,2025-10-01,1,
146,144,1159,2025-11-14,1,
148,145,2948,2026-02-25,0,16
147,145,2948,2026-02-26,0,1
149,146,1597,2026-02-07,0,10
150,147,449,2025-10-02,1,
151,148,1625,2026-01-17,1,
152,149,2953,2025-10-13,1,
153,150,1706,2025-12-07,1,
154,151,833,2025-10-09,1,
155,152,2024,2026-01-27,1,
156,153,306,2025-08-01,0,15
157,154,1907,2025-06-18,1,
158,155,2363,2025-12-04,1,
159,156,1742,2025-07-30,1,
160,157,1528,2025-12-24,1,
161,158,1932,2025-08-03,1,
162,159,1830,2025-07-25,1,
163,161,516,2025-07-30,1,
164,162,2112,2025-10-01,1,
165,163,648,2025-11-15,0,19
166,164,1431,2025-04-26,1,
167,165,433,2025-12-21,1,
168,166,2720,2026-01-06,1,
169,168,1480,2025-03-22,1,
170,169,466,2025-11-08,1,
171,170,2544,2025-04-17,1,
172,171,1156,2025-09-18,1,
173,172,2892,2025-03-11,1,
174,173,1331,2026-02-04,1,
175,174,376,2025-11-04,1,
176,175,3,2026-01-15,1,
177,176,1430,2025-12-27,1,
178,178,2519,2025-04-08,1,
179,180,577,2025-03-27,1,
180,181,1991,2025-08-18,1,
181,182,1899,2025-11-15,0,12
182,183,2429,2025-04-02,1,
184,184,2216,2025-09-23,0,4
183,184,2216,2025-09-24,0,2
185,185,2893,2025-04-12,1,
186,186,1848,2025-12-28,0,6
187,187,2653,2025-10-18,1,
189,188,2074,2025-07-08,0,12
188,188,2074,2025-07-09,0,9
190,189,2546,2025-05-28,1,
191,190,608,2025-09-30,1,
192,191,940,2025-05-21,0,19
193,192,1070,2025-06-01,1,
194,193,2806,2025-05-07,1,
195,194,1681,2026-01-09,1,
197,195,1797,2025-06-09,0,9
196,195,1797,2025-06-10,0,1
198,196,1589,2025-10-28,1,
199,197,2550,2025-04-06,1,
