PODID,ShipmentID,PODType,LoggedTime
1,1,Neighbor Signature,2025-09-08 02:19:09.287
2,2,Neighbor Signature,2025-06-25 09:26:17.781
3,4,Neighbor Signature,2025-03-09 22:45:10.735
4,5,OTP,2025-10-01 11:56:23.166
5,10,Signature,2025-12-04 08:07:25.954
6,11,OTP,2026-01-05 13:37:17.918
7,12,Neighbor Signature,2025-10-26 23:47:22.461
8,13,Photo,2025-03-28 00:43:18.220
9,14,OTP,2026-02-10 08:19:32.718
10,15,Neighbor Signature,2026-01-11 18:48:32.443
11,17,OTP,2026-02-25 11:41:16.852
12,18,Photo,2025-03-28 14:40:34.347
13,20,Photo,2025-06-18 06:09:29.082
14,21,OTP,2025-11-14 01:14:05.743
15,22,OTP,2025-09-11 05:49:36.671
16,23,Signature,2025-03-25 12:04:06.606
17,24,Signature,2025-11-26 12:02:00.378
18,27,OTP,2026-01-08 17:15:10.910
19,28,Signature,2025-08-19 17:00:58.652
20,30,OTP,2025-05-28 06:09:55.011
21,31,Signature,2025-05-13 08:13:49.277
22,32,Neighbor Signature,2025-03-29 21:49:34.815
23,33,OTP,2025-04-05 09:44:17.500
24,34,Photo,2025-11-26 17:03:35.156
25,36,Neighbor Signature,2026-02-16 14:06:56.474
26,38,Neighbor Signature,2026-02-09 10:58:45.821
27,39,OTP,2026-01-03 00:03:48.619
28,40,Photo,2025-04-06 05:14:44.701
29,41,Neighbor Signature,2025-07-22 18:03:33.836
30,42,Signature,2025-09-15 03:01:24.861
31,43,Photo,2025-07-20 15:30:28.921
32,45,Neighbor Signature,2025-08-09 22:57:59.657
33,46,Neighbor Signature,2025-10-28 12:15:50.208
34,47,Photo,2025-12-15 07:28:58.403
35,48,Signature,2025-07-16 20:21:54.998
36,50,OTP,2025-05-18 18:33:37.753
37,51,Neighbor Signature,2025-06-05 01:44:47.784
38,52,Signature,2025-06-24 18:37:39.816
39,54,Signature,2025-07-30 09:17:35.458
40,55,OTP,2025-09-18 22:49:28.070
41,56,Signature,2025-03-13 09:24:39.807
